Country,revenue,InvoiceNo,Average Order Value
Netherlands,284661.54,101,2818.431089108911
Australia,137009.77,69,1985.64884057971
Lebanon,1693.8799999999999,1,1693.8799999999999
Japan,35340.62,28,1262.1650000000002
Israel,6988.4,6,1164.7333333333333
Brazil,1143.6,1,1143.6
RSA,1002.31,1,1002.31
Singapore,9120.39,10,912.039
Denmark,18768.14,21,893.7209523809523
Norway,35163.46,40,879.0865
Sweden,36585.409999999996,46,795.3349999999999
Greece,4710.52,6,785.0866666666667
Switzerland,55739.4,71,785.061971830986
EIRE,250001.78,319,783.7046394984326
Cyprus,12858.76,20,642.938
United Arab Emirates,1902.28,3,634.0933333333334
Iceland,4310.0,7,615.7142857142857
Canada,3666.38,6,611.0633333333334
Channel Islands,20076.39,33,608.3754545454545
Austria,10154.32,19,534.437894736842
Spain,54756.03,105,521.486
Finland,22326.74,48,465.1404166666667
France,196626.05,458,429.314519650655
Lithuania,1661.06,4,415.265
Portugal,28995.76,70,414.2251428571428
Germany,221509.47,603,367.3457213930348
Belgium,40910.96,119,343.78957983193277
United Kingdom,6747156.154,19857,339.7872868006245
Unspecified,2660.77,8,332.59625
Italy,16890.51,55,307.1001818181818
Poland,7213.14,24,300.5475
Bahrain,548.4,2,274.2
European Community,1291.75,5,258.35
Malta,2505.47,10,250.54699999999997
USA,1730.92,7,247.27428571428572
Czech Republic,707.72,5,141.544
Saudi Arabia,131.17,2,65.585
