Unnamed: 0,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,revenue
0,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850.0,United Kingdom,15.3
24,536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047.0,United Kingdom,14.85
38,536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00,0.85,12583.0,France,17.0
46,536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2010-12-01 09:00:00,2.55,13748.0,United Kingdom,204.0
65,536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,10.95,15100.0,United Kingdom,350.4
83,536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2010-12-01 09:32:00,2.55,15291.0,United Kingdom,163.2
96,536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,0.42,14688.0,United Kingdom,50.4
125,536381,71270,PHOTO CLIP LINE,3,2010-12-01 09:41:00,1.25,15311.0,United Kingdom,3.75
141,C536379,D,Discount,-1,2010-12-01 09:41:00,27.5,14527.0,United Kingdom,-27.5
105,536380,22961,JAM MAKING SET PRINTED,24,2010-12-01 09:41:00,1.45,17809.0,United Kingdom,34.8
153,536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2010-12-01 09:45:00,16.95,16098.0,United Kingdom,67.8
167,536384,22424,ENAMEL BREAD BIN CREAM,8,2010-12-01 09:53:00,10.95,18074.0,United Kingdom,87.6
174,536385,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,1.65,17420.0,United Kingdom,16.5
177,536386,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 09:57:00,1.65,16029.0,United Kingdom,165.0
190,536388,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,2010-12-01 09:59:00,0.42,16250.0,United Kingdom,5.04
206,536389,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-01 10:03:00,3.75,12431.0,Australia,15.0
225,536390,21094,SET/6 RED SPOTTY PAPER PLATES,96,2010-12-01 10:19:00,0.64,17511.0,United Kingdom,61.44
241,C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,-39.6
251,536392,22338,STAR DECORATION PAINTED ZINC ,24,2010-12-01 10:29:00,0.65,13705.0,United Kingdom,15.6
252,536393,22180,RETROSPOT LAMP,8,2010-12-01 10:37:00,9.95,13747.0,United Kingdom,79.6
260,536394,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2010-12-01 10:39:00,1.25,13408.0,United Kingdom,60.0
277,536395,22866,HAND WARMER SCOTTY DOG DESIGN,48,2010-12-01 10:47:00,2.1,13767.0,United Kingdom,100.8
297,536397,35004C,SET OF 3 COLOURED  FLYING DUCKS,48,2010-12-01 10:51:00,4.65,17924.0,United Kingdom,223.2
310,536398,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 10:52:00,3.95,13448.0,United Kingdom,15.8
364,536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 11:21:00,2.95,15862.0,United Kingdom,11.8
384,536402,22837,HOT WATER BOTTLE BABUSHKA ,36,2010-12-01 11:22:00,4.25,15513.0,United Kingdom,153.0
385,536403,22867,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,1.85,12791.0,Netherlands,177.6
403,536404,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2010-12-01 11:29:00,1.25,16218.0,United Kingdom,15.0
415,536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2010-12-01 11:32:00,2.55,14045.0,United Kingdom,326.4
470,536408,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2010-12-01 11:41:00,1.45,14307.0,United Kingdom,17.4
522,536409,20713,JUMBO BAG OWLS,1,2010-12-01 11:45:00,1.95,17908.0,United Kingdom,1.95
586,536412,22271,FELTCRAFT DOLL ROSIE,2,2010-12-01 11:49:00,2.95,17920.0,United Kingdom,5.9
665,536415,21916,SET 12 RETRO WHITE CHALK STICKS,2,2010-12-01 11:57:00,0.42,12838.0,United Kingdom,0.84
682,536416,21494,ROTATING LEAVES T-LIGHT HOLDER,12,2010-12-01 11:58:00,1.25,13255.0,United Kingdom,15.0
696,536420,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-12-01 12:03:00,4.95,16583.0,United Kingdom,14.85
717,536425,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2010-12-01 12:08:00,1.45,13758.0,United Kingdom,17.4
710,536423,22113,GREY HEART HOT WATER BOTTLE,8,2010-12-01 12:08:00,3.75,18085.0,United Kingdom,30.0
733,536437,84678,CLASSICAL ROSE SMALL VASE,48,2010-12-01 12:12:00,1.25,13694.0,United Kingdom,60.0
751,536446,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,2010-12-01 12:15:00,1.25,15983.0,United Kingdom,2.5
774,536460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 12:22:00,0.55,14849.0,United Kingdom,13.2
843,536464,21815,STAR  T-LIGHT HOLDER ,1,2010-12-01 12:23:00,1.45,17968.0,United Kingdom,1.45
876,536477,22595,CHRISTMAS GINGHAM HEART,144,2010-12-01 12:27:00,0.72,16210.0,United Kingdom,103.68
902,536488,21895,POTTING SHED SOW 'N' GROW SET,1,2010-12-01 12:31:00,4.25,17897.0,United Kingdom,4.25
929,536500,21035,SET/2 RED RETROSPOT TEA TOWELS ,3,2010-12-01 12:35:00,2.95,17377.0,United Kingdom,8.85
936,536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:36:00,12.75,16552.0,United Kingdom,25.5
937,536508,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,72,2010-12-01 12:38:00,1.06,17181.0,United Kingdom,76.32
943,536514,22633,HAND WARMER UNION JACK,36,2010-12-01 12:40:00,2.1,17951.0,United Kingdom,75.6
992,536520,22905,CALENDAR IN SEASON DESIGN,2,2010-12-01 12:43:00,2.95,14729.0,United Kingdom,5.9
1016,536521,22854,CREAM SWEETHEART EGG HOLDER,1,2010-12-01 12:48:00,4.95,12748.0,United Kingdom,4.95
1051,536522,21190,PINK HEARTS PAPER GARLAND,1,2010-12-01 12:49:00,1.65,15012.0,United Kingdom,1.65
1082,536523,22294,HEART FILIGREE DOVE  SMALL,24,2010-12-01 12:50:00,1.25,12868.0,United Kingdom,30.0
1083,536524,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2010-12-01 12:51:00,2.95,17572.0,United Kingdom,17.7
1094,536525,22428,ENAMEL FIRE BUCKET CREAM,1,2010-12-01 12:54:00,6.95,14078.0,United Kingdom,6.95
1108,536526,22113,GREY HEART HOT WATER BOTTLE,8,2010-12-01 12:58:00,3.75,14001.0,United Kingdom,30.0
1122,536527,22549,PICTURE DOMINOES,12,2010-12-01 13:04:00,1.45,12662.0,Germany,17.4
1161,536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2010-12-01 13:17:00,2.95,15525.0,United Kingdom,2.95
1189,536529,22487,WHITE WOOD GARDEN PLANT LADDER,2,2010-12-01 13:20:00,9.95,14237.0,United Kingdom,19.9
1212,536530,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-01 13:21:00,1.95,17905.0,United Kingdom,11.7
1227,536531,22730,ALARM CLOCK BAKELIKE IVORY,9,2010-12-01 13:23:00,3.75,15485.0,United Kingdom,33.75
1284,536532,21870,I CAN ONLY PLEASE ONE PERSON MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway,30.0
1313,536533,22797,CHEST OF DRAWERS GINGHAM HEART ,3,2010-12-01 13:31:00,16.95,16955.0,United Kingdom,50.85
1318,536534,22867,HAND WARMER BIRD DESIGN,12,2010-12-01 13:33:00,2.1,15350.0,United Kingdom,25.2
1331,536535,22311,OFFICE MUG WARMER BLACK+SILVER ,6,2010-12-01 13:38:00,2.95,15605.0,United Kingdom,17.7
1332,536536,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-01 13:45:00,4.95,18144.0,United Kingdom,14.85
1342,536537,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2010-12-01 13:51:00,2.95,15922.0,United Kingdom,23.6
1362,536538,22195,LARGE HEART MEASURING SPOONS,5,2010-12-01 13:54:00,1.65,14594.0,United Kingdom,8.25
