Description,Country,revenue,Quantity
REGENCY CAKESTAND 3 TIER,United Kingdom,132567.69999999998,11529
WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,93767.8,34128
JUMBO BAG RED RETROSPOT,United Kingdom,83056.52,44963
PARTY BUNTING,United Kingdom,67628.43000000001,15015
POSTAGE,France,66710.24,3002
ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,56331.909999999996,35215
RABBIT NIGHT LIGHT,United Kingdom,51042.840000000004,27045
CHILLI LIGHTS,United Kingdom,45915.409999999996,9566
PAPER CHAIN KIT 50'S CHRISTMAS ,United Kingdom,41423.78,15138
PICNIC BASKET WICKER 60 PIECES,United Kingdom,39619.5,61
BLACK RECORD COVER FRAME,United Kingdom,38990.63,11386
JUMBO BAG PINK POLKADOT,United Kingdom,36437.78,19692
SPOTTY BUNTING,United Kingdom,35026.74,7523
DOORMAT KEEP CALM AND COME IN,United Kingdom,34279.6,5113
WOOD BLACK BOARD ANT WHITE FINISH,United Kingdom,34243.76,5889
SET OF 3 CAKE TINS PANTRY DESIGN ,United Kingdom,32573.149999999998,6857
JAM MAKING SET WITH JARS,United Kingdom,31611.72,7905
JUMBO BAG STRAWBERRY,United Kingdom,30120.83,16521
HEART OF WICKER LARGE,United Kingdom,28290.15,9509
VICTORIAN GLASS HANGING T-LIGHT,United Kingdom,28111.71,21955
HEART OF WICKER SMALL,United Kingdom,28009.14,16633
LUNCH BAG RED RETROSPOT,United Kingdom,27050.4,17024
SET OF 3 REGENCY CAKE TINS,United Kingdom,26144.780000000002,5754
ALARM CLOCK BAKELIKE RED ,France,25602.7,7135
JUMBO BAG APPLES,United Kingdom,25117.05,13152
DOORMAT RED RETROSPOT,United Kingdom,24903.63,3831
PAPER CHAIN KIT VINTAGE CHRISTMAS,United Kingdom,24708.32,9072
SPACEBOY LUNCH BOX ,France,24580.44,13854
HOT WATER BOTTLE KEEP CALM,Unspecified,24084.15,5265
NATURAL SLATE HEART CHALKBOARD ,United Kingdom,23936.57,8375
PLEASE ONE PERSON METAL SIGN,United Kingdom,23696.12,11845
ROSES REGENCY TEACUP AND SAUCER ,United Kingdom,23682.8,8684
RED  HARMONICA IN BOX ,United Kingdom,23677.68,20882
DOORMAT UNION FLAG,United Kingdom,23525.04,3602
CHOCOLATE HOT WATER BOTTLE,United Kingdom,23239.76,5072
JUMBO  BAG BAROQUE BLACK WHITE,United Kingdom,23119.7,12490
POPCORN HOLDER,United Kingdom,23088.1,30492
JUMBO BAG ALPHABET,United Kingdom,23084.420000000002,11939
DOORMAT NEW ENGLAND,United Kingdom,22752.0,3694
CREAM HEART CARD HOLDER,United Kingdom,22656.32,8180
BAKING SET 9 PIECE RETROSPOT ,United Kingdom,22642.0,4718
VINTAGE UNION JACK MEMOBOARD,United Kingdom,22639.48,3248
REGENCY TEAPOT ROSES ,United Kingdom,22597.12,2610
RED HANGING HEART T-LIGHT HOLDER,United Kingdom,22442.239999999998,7692
ROUND SNACK BOXES SET OF4 WOODLAND ,France,21983.77,8035
SET OF TEA COFFEE SUGAR TINS PANTRY,United Kingdom,21573.43,4543
JUMBO STORAGE BAG SUKI,United Kingdom,21182.510000000002,11179
GIN + TONIC DIET METAL SIGN,United Kingdom,21169.55,9471
JAM MAKING SET PRINTED,United Kingdom,20721.8,14708
ALARM CLOCK BAKELIKE GREEN,France,20719.15,5598
VINTAGE UNION JACK BUNTING,United Kingdom,20707.16,2510
JUMBO BAG VINTAGE LEAF,United Kingdom,20479.09,10453
RECIPE BOX PANTRY YELLOW DESIGN,Norway,20417.57,7215
EDWARDIAN PARASOL NATURAL,United Kingdom,20406.86,3777
SET OF 6 SPICE TINS PANTRY DESIGN,United Kingdom,20364.6,5330
RETROSPOT TEA SET CERAMIC 11 PC ,United Kingdom,20230.93,4197
COOK WITH WINE METAL SIGN ,United Kingdom,20071.03,10082
CREAM SWEETHEART MINI CHEST,United Kingdom,20000.12,1655
DOORMAT HEARTS,United Kingdom,19900.81,3265
DOLLY GIRL LUNCH BOX,United Kingdom,19642.989999999998,11057
JUMBO BAG VINTAGE DOILY ,United Kingdom,19610.760000000002,10052
RED TOADSTOOL LED NIGHT LIGHT,France,19570.21,12689
JUMBO SHOPPER VINTAGE RED PAISLEY,United Kingdom,19517.31,10148
SCOTTIE DOG HOT WATER BOTTLE,United Kingdom,19505.45,4119
WOODEN PICTURE FRAME WHITE FINISH,United Kingdom,19363.9,8023
DOORMAT FANCY FONT HOME SWEET HOME,United Kingdom,19109.02,3082
LUNCH BOX I LOVE LONDON,France,18770.17,10753
JUMBO BAG OWLS,United Kingdom,18615.59,10208
