Description,revenue_per_product,Revenue Percentage per Product
REGENCY CAKESTAND 3 TIER,132567.69999999998,1.6013455209838257
WHITE HANGING HEART T-LIGHT HOLDER,93767.8,1.1326638882812872
JUMBO BAG RED RETROSPOT,83056.52,1.0032774672148914
PARTY BUNTING,67628.43000000001,0.8169145536331113
POSTAGE,66710.24,0.8058233191626322
ASSORTED COLOUR BIRD ORNAMENT,56331.909999999996,0.6804587525239103
RABBIT NIGHT LIGHT,51042.840000000004,0.6165696712871542
CHILLI LIGHTS,45915.409999999996,0.5546331131009737
PAPER CHAIN KIT 50'S CHRISTMAS ,41423.78,0.5003766721849997
PICNIC BASKET WICKER 60 PIECES,39619.5,0.478581953738495
BLACK RECORD COVER FRAME,38990.63,0.470985547089054
JUMBO BAG PINK POLKADOT,36437.78,0.4401485112707999
SPOTTY BUNTING,35026.74,0.4231039175731722
DOORMAT KEEP CALM AND COME IN,34279.6,0.41407887382158065
WOOD BLACK BOARD ANT WHITE FINISH,34243.76,0.4136459461667141
SET OF 3 CAKE TINS PANTRY DESIGN ,32573.149999999998,0.39346588842406033
JAM MAKING SET WITH JARS,31611.72,0.38185233833426113
JUMBO BAG STRAWBERRY,30120.83,0.3638432001823616
HEART OF WICKER LARGE,28290.15,0.34172958413294174
VICTORIAN GLASS HANGING T-LIGHT,28111.71,0.3395741262441472
HEART OF WICKER SMALL,28009.14,0.3383351365800939
LUNCH BAG RED RETROSPOT,27050.4,0.326754080223319
SET OF 3 REGENCY CAKE TINS,26144.780000000002,0.3158146844978642
ALARM CLOCK BAKELIKE RED ,25602.7,0.3092666537180067
JUMBO BAG APPLES,25117.05,0.3034002665643803
DOORMAT RED RETROSPOT,24903.63,0.3008222693517232
PAPER CHAIN KIT VINTAGE CHRISTMAS,24708.32,0.29846303106288397
SPACEBOY LUNCH BOX ,24580.44,0.2969183104014905
HOT WATER BOTTLE KEEP CALM,24084.15,0.2909233978503256
NATURAL SLATE HEART CHALKBOARD ,23936.57,0.28914071193221136
PLEASE ONE PERSON METAL SIGN,23696.12,0.28623620706020586
ROSES REGENCY TEACUP AND SAUCER ,23682.8,0.2860753087241896
RED  HARMONICA IN BOX ,23677.68,0.2860134619163515
DOORMAT UNION FLAG,23525.04,0.28416965395767857
CHOCOLATE HOT WATER BOTTLE,23239.76,0.2807236271334501
JUMBO  BAG BAROQUE BLACK WHITE,23119.7,0.27927336780746564
POPCORN HOLDER,23088.1,0.27889165704033986
JUMBO BAG ALPHABET,23084.420000000002,0.27884720464720636
DOORMAT NEW ENGLAND,22752.0,0.27483175233049983
CREAM HEART CARD HOLDER,22656.32,0.2736759901090256
BAKING SET 9 PIECE RETROSPOT ,22642.0,0.27350301231835344
VINTAGE UNION JACK MEMOBOARD,22639.48,0.2734725720926206
REGENCY TEAPOT ROSES ,22597.12,0.2729608863933977
RED HANGING HEART T-LIGHT HOLDER,22442.239999999998,0.27109002045629554
ROUND SNACK BOXES SET OF4 WOODLAND ,21983.77,0.26555195288021594
SET OF TEA COFFEE SUGAR TINS PANTRY,21573.43,0.2605952694567236
JUMBO STORAGE BAG SUKI,21182.510000000002,0.25587316904264845
GIN + TONIC DIET METAL SIGN,21169.55,0.25571661931030826
JAM MAKING SET PRINTED,20721.8,0.25030804348813956
ALARM CLOCK BAKELIKE GREEN,20719.15,0.25027603293330153
VINTAGE UNION JACK BUNTING,20707.16,0.25013120027197755
JUMBO BAG VINTAGE LEAF,20479.09,0.24737623904861183
RECIPE BOX PANTRY YELLOW DESIGN,20417.57,0.2466331109981823
EDWARDIAN PARASOL NATURAL,20406.86,0.2465037400388179
SET OF 6 SPICE TINS PANTRY DESIGN,20364.6,0.2459932622850605
RETROSPOT TEA SET CERAMIC 11 PC ,20230.93,0.24437860158120955
COOK WITH WINE METAL SIGN ,20071.03,0.2424470967817349
CREAM SWEETHEART MINI CHEST,20000.12,0.2415905426520867
DOORMAT HEARTS,19900.81,0.24039093201021164
DOLLY GIRL LUNCH BOX,19642.989999999998,0.23727660701083356
JUMBO BAG VINTAGE DOILY ,19610.760000000002,0.2368872861872747
RED TOADSTOOL LED NIGHT LIGHT,19570.21,0.23639746430097885
JUMBO SHOPPER VINTAGE RED PAISLEY,19517.31,0.23575846114968305
SCOTTIE DOG HOT WATER BOTTLE,19505.45,0.23561519881746434
WOODEN PICTURE FRAME WHITE FINISH,19363.9,0.23390535201092505
DOORMAT FANCY FONT HOME SWEET HOME,19109.02,0.23082654060823526
LUNCH BOX I LOVE LONDON,18770.17,0.2267334173980915
JUMBO BAG OWLS,18615.59,0.22486617529738614
PAPER BUNTING RETROSPOT,18589.59,0.2245521094763334
ALARM CLOCK BAKELIKE PINK,18385.34,0.22208488086287062
LUNCH BAG APPLE DESIGN,18125.0,0.21894011563775975
JUMBO BAG PINK VINTAGE PAISLEY,18040.83,0.21792338793937466
LUNCH BAG  BLACK SKULL.,17764.6,0.21458668017978189
GREEN REGENCY TEACUP AND SAUCER,17342.49,0.20948782157498994
HOMEMADE JAM SCENTED CANDLES,17318.399999999998,0.20919682751232982
ROTATING SILVER ANGELS T-LIGHT HLDR,17255.62,0.20843847934903392
GUMBALL COAT RACK,17153.6,0.2072061333850414
JUMBO BAG 50'S CHRISTMAS ,17149.08,0.20715153424999688
GROW A FLYTRAP OR SUNFLOWER IN TIN,17136.2,0.20699595087402917
LUNCH BAG CARS BLUE,16887.03,0.2039861131574244
WOODEN FRAME ANTIQUE WHITE ,16795.22,0.20287709842546844
JUMBO BAG DOILEY PATTERNS,16691.34,0.201622284675816
DOORMAT FAIRY CAKE,16616.89,0.200722969276686
